"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"668","Counties Manukau",4,523202,"Turanga"
"669","Waikato",5,527913,"Whatawhata"
"670","Capital and Coast",14,576001,"Island Bay West"
"671","Canterbury",18,589100,"Jellie Park"
"672","Auckland",3,517001,"Glen Innes West"
"673","Northland",1,505010,"Rehia-Oneriri"
"674","Hawke's Bay",10,545831,"Waiohiki"
"675","Counties Manukau",4,525102,"Wattle Farm"
"676","Waikato",5,527935,"Te Rahu"
"677","Nelson Marlborough",16,583300,"Grampians"
"678","Bay of Plenty",7,542530,"Otakiri"
"679","Taranaki",9,552800,"Inglewood"
"680","Auckland",3,517701,"Sandringham North"
"681","Northland",1,502101,"Kamo West"
"682","Hutt Valley",13,567000,"Ebdentown"
"683","Counties Manukau",4,524604,"Manukau Central"
"684","South Canterbury",19,600200,"Fairlie"
"685","Waitematā",2,513800,"Karekare"
"686","Hutt Valley",13,564520,"Trentham South"
"687","Bay of Plenty",7,538301,"Kaitemako"
"688","Waikato",5,535600,"Putaruru"
"689","Nelson Marlborough",16,623801,"Inlet-Tasman Bay"
"690","Nelson Marlborough",16,582401,"Britannia"
"691","Canterbury",18,587830,"Islington"
"692","Wairarapa",15,578800,"Masterton East"
"693","Whanganui",11,556000,"Balgownie"
"694","Canterbury",18,597730,"Hinds"
"695","Auckland",3,516002,"Remuera South"
"696","Waitematā",2,513214,"Ranui South"
"697","Counties Manukau",4,521203,"Bremner"
"698","Area outside District Health Board",99,617606,"Tidal-Manukau Harbour North"
"699","Waitematā",2,505400,"Leigh"
"700","Waitematā",2,508520,"Sunnynook"
"701","Southern",22,606500,"Benhar"
"702","Bay of Plenty",7,537000,"Matua"
"703","Waikato",5,526500,"Raglan"
"704","Bay of Plenty",7,542562,"Urewera"
"705","Waikato",5,529502,"Insoll"
"706","Taranaki",9,552100,"Fitzroy"
"707","Hawke's Bay",10,548300,"Akina"
"708","Whanganui",11,557700,"Kowhai Park"
"709","MidCentral",12,562720,"Westbrook"
"710","Counties Manukau",4,524712,"Homai West"
"711","Hutt Valley",13,569800,"Korokoro"
"712","Waikato",5,526900,"Te Kauwhata"
"713","Whanganui",11,558500,"Waiouru"
"714","Southern",22,603300,"North East Valley"
"715","Counties Manukau",4,523113,"Greenmount"
"716","Canterbury",18,593100,"Aranui"
"717","MidCentral",12,564220,"Levin West"
"718","Counties Manukau",4,525002,"Beaumont"
"719","Counties Manukau",4,521302,"Runciman"
"720","Counties Manukau",4,522730,"Half Moon Bay"
"721","West Coast",17,584702,"Mawheraiti"
"722","Bay of Plenty",7,536510,"Motuopae Island"
"723","West Coast",17,585317,"Hokitika Rural"
"724","Southern",22,607800,"Roxburgh"
"725","Nelson Marlborough",16,581834,"Rabbit Island"
"726","Area outside District Health Board",99,617000,"Inlet-Kaipara Harbour North"
"727","Canterbury",18,595400,"Somerfield"
"728","Nelson Marlborough",16,584000,"Langbein"
"729","Southern",22,609032,"Wakatipu Basin"
"730","Waitematā",2,513410,"Whenuapai West"
"731","Waikato",5,528700,"Beerescourt"
"732","Bay of Plenty",7,536514,"Bethlehem"
"733","Bay of Plenty",7,536832,"Te Maunga"
"734","Southern",22,605200,"Port Chalmers"
"735","Southern",22,626700,"Centre Island"
"736","Whanganui",11,555800,"Castlecliff South"
"737","Nelson Marlborough",16,581842,"Lake Rotoroa"
"738","Auckland",3,516900,"Glen Innes North"
"739","Waikato",5,619301,"Inlets-Thames-Coromandel District"
"740","Canterbury",18,587811,"Yaldhurst"
"741","South Canterbury",19,625300,"Inlet-Port Timaru"
"742","Taranaki",9,554010,"Hawera North"
"743","Counties Manukau",4,523501,"Otara North"
"744","Auckland",3,517202,"Stonefields"
"745","Whanganui",11,557900,"Durie Hill"
"746","Waitematā",2,505805,"Orewa"
"747","Counties Manukau",4,522721,"Pigeon Mountain South"
"748","Waitematā",2,505910,"Gulf Harbour"
"749","Waikato",5,527122,"Gordonton"
"750","Lakes",6,541501,"Rangipo"
"751","Auckland",3,519720,"Onehunga North East"
"752","Counties Manukau",4,521153,"Otaua"
"753","Counties Manukau",4,521117,"Buckland South"
"754","West Coast",17,584404,"Granity"
"755","Lakes",6,541710,"Nukuhau"
"756","Nelson Marlborough",16,580451,"Weld Pass"
"757","Southern",22,603220,"Forrester Park"
"758","Waikato",5,527402,"Huntly East"
"759","Nelson Marlborough",16,580802,"Seddon"
"760","Capital and Coast",14,576903,"Kilbirnie West-Hataitai South"
"761","Canterbury",18,587905,"Taitapu"
"762","Waitematā",2,509800,"Northcote South"
"763","Auckland",3,516001,"Mt Hobson"
"764","Southern",22,604420,"Forbury"
"765","Canterbury",18,586130,"Woodend West"
"766","Waikato",5,531303,"Te Kawa"
"767","Waitematā",2,506003,"Silverdale South"
"768","Waitematā",2,511601,"Glendene North"
"769","Waikato",5,535380,"Amisfield"
"770","Lakes",6,540000,"Springfield"
"771","South Canterbury",19,625300,"Inlet-Port Timaru"
"772","Northland",1,502005,"Otaika-Portland"
"773","Capital and Coast",14,574302,"Te Kainga"
"774","Waikato",5,535220,"Okauia"
"775","Waitematā",2,508010,"Takapuna Central"
"776","Waitematā",2,511601,"Glendene North"
"777","Waitematā",2,617102,"Inlet-Kaipara River"
"778","Auckland",3,520801,"Waiheke Island"
"779","Area outside District Health Board",99,619900,"White Island"
"780","Canterbury",18,589500,"Deans Bush"
"781","Waikato",5,535100,"Tirau"
"782","Northland",1,501612,"Opua West"
"783","Waitematā",2,508420,"Target Road"
"784","Counties Manukau",4,521601,"Howick West"
"785","Counties Manukau",4,525001,"Manurewa Central"
"786","Canterbury",18,586604,"Ohoka"
"787","Southern",22,612740,"Fairfax"
"788","Counties Manukau",4,526106,"Pukeoware"
"789","Canterbury",18,585805,"Sefton"
"790","Waikato",5,535350,"Tokoroa Central"
"791","Hawke's Bay",10,545851,"Poukawa"
"792","Nelson Marlborough",16,582200,"Port Nelson"
"793","Canterbury",18,595900,"South Brighton"
"794","Whanganui",11,557000,"Spriggens Park"
"795","Southern",22,601603,"Evansdale"
"796","Waitematā",2,506633,"Algies Bay"
"797","Area outside District Health Board",99,617800,"Inlet-Waiuku River"
"798","Canterbury",18,587303,"Oaklands West"
"799","Waitematā",2,513610,"Massey West"
"800","Waitematā",2,511303,"Lynnmall"
"801","MidCentral",12,549901,"Owahanga"
"802","Bay of Plenty",7,536201,"Papamoa Beach East"
"803","Southern",22,601605,"Warrington"
"804","MidCentral",12,560421,"Halcombe"
"805","Auckland",3,616001,"Kaikoura and Rangiahua Islands"
"806","Whanganui",11,556600,"Springvale East"
"807","Waikato",5,527503,"Cambridge Central"
"808","Canterbury",18,591800,"Northcote"
"809","Northland",1,501631,"Okaihau"
"810","Capital and Coast",14,577602,"Miramar West"
"811","Canterbury",18,588900,"Burnside"
"812","Auckland",3,517901,"Springleigh"
"813","Southern",22,604110,"Mornington"
"814","Northland",1,500205,"Ahipara"
"815","Waikato",5,529100,"Hamilton Lake"
"816","Capital and Coast",14,577102,"Strathmore Park"
"817","Bay of Plenty",7,542905,"Inlet-Ohiwa Harbour East"
"818","Capital and Coast",14,571900,"Plimmerton"
"819","Waikato",5,535262,"Wawa"
"820","Southern",22,601700,"Nenthorn"
"821","Waitematā",2,510700,"Henderson North"
"822","Waikato",5,529401,"Queenwood"
"823","Lakes",6,538732,"Lynmore"
"824","MidCentral",12,564400,"Otaki"
"825","Southern",22,604822,"Macandrew Bay"
"826","Counties Manukau",4,522202,"Papatoetoe Central"
"827","Area outside District Health Board",99,666669,"Bounty Islands"
"828","Nelson Marlborough",16,581720,"Hope"
"829","Waitematā",2,513432,"Hobsonville South"
"830","Waitematā",2,506656,"Waitakere West"
"831","Waitematā",2,506658,"Omaha"
"832","Southern",22,603820,"Helensburgh"
"833","Canterbury",18,586801,"Ashley Gorge"
"834","Southern",22,603601,"North Dunedin"
"835","Hawke's Bay",10,545206,"Inland Water-Lake Waikaremoana"
"836","Southern",22,610051,"Waianiwa"
"837","Southern",22,604222,"Corstorphine East"
"838","Canterbury",18,592100,"Strowan"
"839","Capital and Coast",14,576301,"Newtown West"
"840","Waikato",5,528503,"Crawshaw"
"841","Auckland",3,515902,"Parnell West"
"842","Waitematā",2,506659,"Matakana"
"843","Lakes",6,538742,"Owhata East"
"844","Southern",22,612720,"Wairio"
"845","Southern",22,609400,"Balfour Community"
"846","Hawke's Bay",10,545631,"Meeanee"
"847","Waitematā",2,506642,"South Head"
"848","Waikato",5,527009,"Huntington"
"849","Hutt Valley",13,568701,"Waiwhetu North"
"850","Whanganui",11,555800,"Castlecliff South"
"851","Southern",22,606900,"Kaitangata"
"852","Waikato",5,527008,"Rototuna"
"853","Capital and Coast",14,576200,"Berhampore West"
"854","Wairarapa",15,578902,"Solway South"
"855","Lakes",6,541750,"Waipahihi"
"856","Auckland",3,518101,"Mt Eden North"
"857","MidCentral",12,564210,"Levin North"
"858","Auckland",3,515600,"Eden Terrace"
"859","Tairāwhiti",8,544001,"Wharekaka"
"860","Waikato",5,534603,"Springdale"
"861","Canterbury",18,591102,"Cashmere East"
"862","Northland",1,500700,"Omapere and Opononi"
"863","Capital and Coast",14,572300,"Mana Island"
"864","South Canterbury",19,600420,"St Andrews"
"865","Waikato",5,527934,"Rotoorangi"
"866","Nelson Marlborough",16,581724,"Best Island"
"867","MidCentral",12,564011,"Lake Horowhenua"
"868","Canterbury",18,586126,"Woodend Beach"
"869","Area outside District Health Board",99,666672,"Oceanic-Antipodes Islands"
"870","Waikato",5,534602,"Waitoa"
"871","Counties Manukau",4,525530,"Rosehill"
"872","Auckland",3,515431,"Surrey Crescent"
"873","Auckland",3,518802,"Wesley"
"874","Waikato",5,535330,"Matarawa"
"875","Nelson Marlborough",16,581842,"Lake Rotoroa"
"876","Waikato",5,532904,"Manunui"
"877","Waikato",5,535370,"Strathmore"
"878","Southern",22,610400,"Mataura"
"879","Taranaki",9,554130,"Okaiawa"
"880","Northland",1,502102,"Kamo East"
"881","Hawke's Bay",10,545205,"Maungataniwha"
"882","MidCentral",12,559700,"Kiwitea"
"883","Counties Manukau",4,525540,"Pahurehure"
"884","Waikato",5,532601,"Raurimu"
"885","Area outside District Health Board",99,624600,"Oceanic-West Coast Region"
"886","Waikato",5,534800,"Te Aroha"
"887","Southern",22,606220,"East Taieri"
"888","Auckland",3,517201,"St Johns"
"889","Canterbury",18,590604,"Styx"
"890","Waitematā",2,509400,"Mt Victoria"
"891","Area outside District Health Board",99,620400,"Oceanic-Gisborne Region"
"892","Waikato",5,527937,"Allen Road"
"893","Counties Manukau",4,522601,"Bucklands and Eastern Beaches"
"894","Hutt Valley",13,565100,"Arakura"
"895","Waitematā",2,509300,"Narrow Neck"
"896","Waikato",5,532700,"Otangiwai-Heao"
"897","Waikato",5,526702,"Te Akau"
"898","Waikato",5,531004,"Te Awamutu South"
"899","Hawke's Bay",10,547200,"Taradale North"
"900","Counties Manukau",4,525610,"Papakura East"
"901","Taranaki",9,551014,"Mangaoraka"
"902","Canterbury",18,592402,"St Albans East"
"903","Counties Manukau",4,521301,"Drury"
"904","Auckland",3,519400,"One Tree Hill East"
"905","Auckland",3,514301,"Grafton West"
"906","Southern",22,612801,"Riverton East"
"907","Hutt Valley",13,568202,"Taita South"
"908","Canterbury",18,590300,"Middleton"
"909","Southern",22,610900,"Windsor"
"910","Bay of Plenty",7,542904,"Oponae"
"911","Hutt Valley",13,568702,"Waiwhetu South"
"912","Auckland",3,518102,"Sherbourne"
"913","Southern",22,607800,"Roxburgh"
"914","Bay of Plenty",7,542906,"Waiotahi"
"915","Capital and Coast",14,573902,"Woodridge"
"916","South Canterbury",19,599700,"Parkside"
"917","Counties Manukau",4,521135,"Mangatawhiri"
"918","Capital and Coast",14,563701,"Waikanae Beach"
"919","Capital and Coast",14,577302,"Miramar"
"920","Canterbury",18,597102,"Inland Water-Lake Ellesmere South"
"921","Hutt Valley",13,568303,"Naenae South"
"922","Taranaki",9,551021,"Carrington"
"923","Hutt Valley",13,566800,"Clouston Park"
"924","Bay of Plenty",7,536506,"Inlet-Tauranga Harbour Omokoroa"
"925","Northland",1,500100,"Awanui"
"926","Auckland",3,521901,"Otahuhu West"
"927","Counties Manukau",4,521131,"Pokeno"
"928","Capital and Coast",14,574703,"Northland North"
"929","Canterbury",18,597101,"Little River"
"930","Nelson Marlborough",16,581723,"Saxton"
"931","MidCentral",12,560422,"Tokorangi-Hiwinui"
"932","Taranaki",9,554400,"Whenuakura"
"933","Whanganui",11,558900,"Bulls"
"934","MidCentral",12,563300,"Aokautere"
"935","Hutt Valley",13,567901,"Cloustonville"
"936","Southern",22,604830,"Broad Bay-Portobello"
"937","Northland",1,500600,"Rawene"
"938","Bay of Plenty",7,536654,"Pongakawa"
"939","Canterbury",18,588800,"Russley"
"940","Bay of Plenty",7,537201,"Otumoetai North"
"941","Bay of Plenty",7,535900,"Maketu Community"
"942","Hawke's Bay",10,549100,"Waipawa"
"943","Capital and Coast",14,571300,"Cannons Creek East"
"944","Auckland",3,518301,"Maungawhau"
"945","Waitematā",2,507102,"Oaktree"
"946","Canterbury",18,586407,"Kaiapoi East"
"947","Waitematā",2,509500,"Stanley Bay"
"948","Hawke's Bay",10,545750,"Brookvale"
"949","Area outside District Health Board",99,622202,"Oceanic-Wellington Region"
"950","Waitematā",2,512201,"Matipo"
"951","Waikato",5,532904,"Manunui"
"952","Capital and Coast",14,573101,"Willis Street-Cambridge Terrace"
"953","Lakes",6,541320,"Marotiri"
"954","Southern",22,600828,"Kakanui"
"955","Auckland",3,518701,"Hillsborough West"
"956","Counties Manukau",4,523912,"Takanini South"
"957","Hawke's Bay",10,545912,"Puketitiri"
"958","MidCentral",12,561901,"Kauwhata"
"959","Waikato",5,530800,"Riverlea"
"960","Southern",22,606600,"Stirling"
"961","Auckland",3,616200,"Rakitu Island"
"962","Southern",22,606700,"Bruce"
"963","Taranaki",9,552800,"Inglewood"
"964","South Canterbury",19,598313,"Levels"
"965","Hawke's Bay",10,546802,"Bluff Hill"
"966","West Coast",17,585323,"Karangarua"
"967","Waikato",5,530600,"Silverdale"
"968","West Coast",17,584800,"Karoro"
"969","Bay of Plenty",7,536832,"Te Maunga"
"970","Wairarapa",15,579502,"Te Wharau"
"971","MidCentral",12,560200,"Ashhurst"
"972","Capital and Coast",14,576800,"Hataitai North"
"973","West Coast",17,585318,"Hokitika Valley"
"974","Canterbury",18,587903,"Kennedys Bush"
"975","Hawke's Bay",10,548200,"Hastings Central"
"976","Waitematā",2,513301,"Kingdale"
"977","Nelson Marlborough",16,581850,"Riwaka"
"978","Waitematā",2,513512,"Royal Road West"
"979","Counties Manukau",4,524603,"Puhinui South"
"980","Hutt Valley",13,564900,"Parkway"
"981","Southern",22,602600,"Strath Taieri"
"982","Whanganui",11,556200,"Gonville South"
"983","Counties Manukau",4,521902,"Middlemore"
"984","Hawke's Bay",10,549000,"Takapau"
"985","Canterbury",18,592702,"Shirley East"
"986","West Coast",17,584703,"Maruia"
"987","Canterbury",18,597830,"Netherby"
"988","Bay of Plenty",7,536641,"Ohauiti-Ngapeke"
"989","Waikato",5,527700,"Kihikihi"
"990","Counties Manukau",4,524002,"Mangere Bridge"
"991","Bay of Plenty",7,538303,"Welcome Bay East"
"992","Nelson Marlborough",16,582500,"Trafalgar"
"993","Waitematā",2,511100,"Glen Eden East"
"994","Southern",22,609033,"Frankton East"
"995","Waikato",5,528000,"Rotongata"
"996","Waikato",5,529000,"Swarbrick"
"997","Lakes",6,541344,"Broadlands"
"998","Southern",22,609200,"Arrowtown"
"999","MidCentral",12,561410,"Rakiraki"
"1000","Auckland",3,518803,"Akarana"
"1001","Capital and Coast",14,574701,"Crofton Downs"
"1002","Northland",1,501817,"Pataua-Whareora"
"1003","Taranaki",9,551501,"Lynmouth"
"1004","Canterbury",18,586122,"Lehmans"
"1005","Auckland",3,521901,"Otahuhu West"
"1006","Southern",22,601010,"Oamaru North"
"1007","Northland",1,501632,"Ohaeawai"
"1008","Canterbury",18,594800,"Barrington North"
"1009","Waikato",5,532501,"Ngapuke"
"1010","Canterbury",18,587020,"Burnham Military Camp"
"1011","Waitematā",2,505604,"Kumeu East"
"1012","Counties Manukau",4,521134,"Paparata"
"1013","South Canterbury",19,599700,"Parkside"
"1014","Capital and Coast",14,570400,"Titahi Bay North"
"1015","Canterbury",18,597400,"Southbridge"
"1016","Whanganui",11,559400,"Taihape"
"1017","Waitematā",2,511602,"Glendene South"
"1018","Waikato",5,531600,"Taharoa"
"1019","Capital and Coast",14,577500,"Seatoun"
"1020","Waikato",5,531800,"Mokauiti"
"1021","Lakes",6,620000,"Inland Water-Lake Taupo"
"1022","Auckland",3,521802,"Fairburn"
"1023","Canterbury",18,586409,"Kaiapoi North East"
"1024","Area outside District Health Board",99,621401,"Port-Taranaki"
"1025","Waikato",5,534400,"Waihi"
"1026","Waikato",5,532400,"Ohura"
"1027","Counties Manukau",4,523402,"Otara West"
"1028","Nelson Marlborough",16,581843,"Murchison"
"1029","Southern",22,603210,"Opoho"
"1030","Canterbury",18,586305,"Kingsbury"
"1031","Area outside District Health Board",99,520804,"Tidal-Waiheke Island"
"1032","Area outside District Health Board",99,666673,"Antipodes Islands"
"1033","Canterbury",18,585505,"Waiau"
"1034","Hawke's Bay",10,545204,"Ruakituri-Morere"
"1035","Canterbury",18,597742,"Rakaia"
"1036","Area outside District Health Board",99,622202,"Oceanic-Wellington Region"
"1037","Canterbury",18,594100,"Woolston South"
"1038","Waikato",5,532602,"National Park"
"1039","Northland",1,502900,"Woodhill"
"1040","Waitematā",2,513631,"Waimumu North"
"1041","Waikato",5,527932,"Kaipaki"
"1042","Southern",22,600822,"Duntroon"
"1043","Nelson Marlborough",16,580300,"Renwick"
"1044","Area outside District Health Board",99,617903,"Auckland City-Marinas"
"1045","Nelson Marlborough",16,582900,"Atmore"
"1046","Auckland",3,515901,"Parnell East"
"1047","Area outside District Health Board",99,617101,"Inlet-Kaipara Harbour South"
"1048","Canterbury",18,594200,"Ensors"
"1049","Northland",1,501814,"Punaruku-Kiripaka"
"1050","Capital and Coast",14,573400,"Mt Victoria West"
"1051","Canterbury",18,587822,"Templeton"
"1052","Bay of Plenty",7,535800,"Katikati Community"
"1053","Canterbury",18,588500,"Bishopdale North"
"1054","Waikato",5,528402,"Pukete West"
"1055","Waikato",5,531100,"Kawhia Community"
"1056","Waitematā",2,506201,"Silverdale North"
"1057","Hutt Valley",13,569201,"Melling"
"1058","Taranaki",9,552002,"Marsland Hill"
"1059","Capital and Coast",14,573526,"Horokiwi"
"1060","Canterbury",18,590505,"Westhaven"
"1061","Auckland",3,517500,"Kingsland"
"1062","Nelson Marlborough",16,581100,"Picton"
"1063","Southern",22,610062,"Myross Bush"
"1064","Northland",1,614800,"Inlet-Bay of Islands"
"1065","Capital and Coast",14,572300,"Mana Island"
"1066","Canterbury",18,581400,"Kaikoura Township"
"1067","Waikato",5,526601,"Waikato Western Hills"
"1068","Auckland",3,519900,"Oranga"
"1069","Northland",1,501700,"Kaikohe"
"1070","Bay of Plenty",7,542440,"Allandale-Mokorua"
"1071","Tairāwhiti",8,544702,"Outer Kaiti"
"1072","Taranaki",9,554010,"Hawera North"
"1073","West Coast",17,585322,"Waiho"
"1074","Capital and Coast",14,575902,"Happy Valley-Owhiro Bay"
"1075","Waikato",5,528200,"Ngaruawahia"
"1076","Waitematā",2,507720,"Crown Hill"
"1077","Capital and Coast",14,576904,"Evans Bay Marina"
"1078","Capital and Coast",14,577301,"Miramar North"
"1079","Counties Manukau",4,521111,"Paerata-Cape Hill"
"1080","Southern",22,604010,"Roslyn North"
"1081","Southern",22,601604,"Karitane"
"1082","Southern",22,607502,"Tuapeka"
"1083","Southern",22,611500,"Newfield-Rockdale"
"1084","Counties Manukau",4,525202,"Kawakawa-Orere"
"1085","Hutt Valley",13,568602,"Waterloo East"
"1086","Auckland",3,517901,"Springleigh"
"1087","Southern",22,612730,"Te Waewae"
"1088","Bay of Plenty",7,536202,"Palm Springs"
"1089","Bay of Plenty",7,537601,"Greerton"
"1090","MidCentral",12,563000,"West End"
"1091","Canterbury",18,591700,"Avon Loop"
"1092","Capital and Coast",14,576100,"Melrose-Houghton Bay-Southgate"
"1093","Canterbury",18,586121,"Fernside"
"1094","Southern",22,600826,"Maheno"
"1095","Capital and Coast",14,574900,"Karori Park"
"1096","Canterbury",18,591200,"Rapaki Track"
"1097","Southern",22,604020,"Roslyn South"
"1098","Bay of Plenty",7,542513,"Inlet-Ohiwa Harbour West"
"1099","Nelson Marlborough",16,581831,"Inlet-Motueka"
"1100","Canterbury",18,589200,"Bryndwr"
"1101","Lakes",6,541000,"Turangi"
"1102","Waikato",5,535502,"Matamata South"
"1103","Canterbury",18,580900,"Lake Tennyson"
"1104","MidCentral",12,561200,"Himatangi Beach"
"1105","Wairarapa",15,579200,"Lansdowne"
"1106","Waitematā",2,511302,"New Lynn South"
"1107","Canterbury",18,588700,"Bishopdale"
"1108","Area outside District Health Board",99,666671,"Snares Island"
"1109","Waitematā",2,505605,"Kumeu West"
"1110","Canterbury",18,586606,"Eyrewell"
"1111","Waikato",5,535241,"Karapiro"
"1112","Southern",22,612500,"Tuatapere"
"1113","West Coast",17,585309,"Ross"
"1114","Area outside District Health Board",99,617605,"Inlet-Manukau Harbour"
"1115","MidCentral",12,564023,"Te Horo"
"1116","Canterbury",18,588401,"Belfast South"
"1117","Counties Manukau",4,524811,"Weymouth West"
"1118","Waitematā",2,512802,"Armour Bay"
"1119","Waikato",5,533200,"Te Rerenga"
"1120","Southern",22,605600,"St Kilda East"
"1121","West Coast",17,585110,"Cobden"
"1122","Tairāwhiti",8,543602,"Te Karaka"
"1123","Auckland",3,520602,"Panmure Basin"
"1124","West Coast",17,584922,"Blackball"
"1125","Nelson Marlborough",16,581825,"Mapua"
"1126","Southern",22,601900,"Fairfield"
"1127","Canterbury",18,587701,"Sockburn"
"1128","Tairāwhiti",8,543902,"Matokitoki"
"1129","Nelson Marlborough",16,581210,"Springlands"
"1130","Waitematā",2,508804,"Pinehill"
"1131","Auckland",3,615900,"Little Barrier Island"
"1132","Waikato",5,533604,"Te Puru-Thornton Bay"
"1133","Waikato",5,618300,"Te Motu Island"
"1134","Canterbury",18,594020,"Ferrymead"
"1135","Waitematā",2,508620,"Sunnybrae"
"1136","Southern",22,611300,"West Invercargill"
"1137","Tairāwhiti",8,544003,"Manutuke"
"1138","Canterbury",18,593600,"Linwood North"
"1139","Hawke's Bay",10,546700,"Maraenui"
"1140","Waikato",5,530100,"Peachgrove"
"1141","Lakes",6,541311,"Acacia Bay"
"1142","Nelson Marlborough",16,580445,"Marlborough Sounds Coastal Marine"
"1143","Counties Manukau",4,523722,"Redoubt North"
"1144","Canterbury",18,594900,"Barrington South"
"1145","Lakes",6,538863,"Waiwhero"
"1146","Southern",22,611001,"Waverley-Glengarry"
"1147","Waitematā",2,506202,"Orewa West"
"1148","Taranaki",9,553301,"Rahotu"
"1149","Southern",22,606600,"Stirling"
"1150","Waikato",5,528504,"Grandview"
"1151","Capital and Coast",14,574100,"Raroa"
"1152","Southern",22,611800,"Kingswell-Clifton"
"1153","Counties Manukau",4,524602,"Wiri"
"1154","Lakes",6,540510,"Glenholme East"
"1155","Taranaki",9,554400,"Whenuakura"
"1156","Bay of Plenty",7,537201,"Otumoetai North"
"1157","Hawke's Bay",10,547900,"Raureka"
"1158","Capital and Coast",14,574703,"Northland North"
"1159","Auckland",3,616300,"Browns Island"
"1160","Canterbury",18,597850,"Hampstead"
"1161","Capital and Coast",14,575400,"Taitville"
"1162","Bay of Plenty",7,536515,"Pacific View"
"1163","Canterbury",18,590400,"Belfast"
"1164","Lakes",6,540300,"Ohinemutu"
"1165","Northland",1,504700,"Maungaturoto"
"1166","Waitematā",2,505807,"Red Beach West"
"1167","Waitematā",2,512801,"Laingholm"
"1168","Southern",22,606300,"Bush Road"
"1169","Bay of Plenty",7,542540,"Rotoma"
"1170","Hawke's Bay",10,549400,"Otane"
"1171","Northland",1,615101,"Inlet-Tutukaka Harbour"
"1172","Southern",22,603602,"Otago University"
"1173","Southern",22,612802,"Riverton West"
"1174","Waikato",5,531003,"Te Awamutu East"
"1175","Northland",1,501300,"Opua East"
"1176","Whanganui",11,558600,"Mangaweka"
"1177","Capital and Coast",14,572701,"Linden"
"1178","Waitematā",2,513013,"McLaren Park"
"1179","Canterbury",18,595500,"Beckenham"
"1180","Waikato",5,533903,"Kerepehi"
"1181","Area outside District Health Board",99,617703,"Tamaki Strait"
"1182","Southern",22,604410,"South Dunedin"
"1183","Nelson Marlborough",16,581240,"Whitney"
"1184","Auckland",3,518500,"Three Kings"
"1185","Canterbury",18,597509,"Rolleston North East"
"1186","Nelson Marlborough",16,583400,"The Brook"
"1187","Southern",22,607300,"Clutha"
"1188","Capital and Coast",14,575100,"Karori South"
"1189","Canterbury",18,625101,"Inlet-Port Lyttelton"
"1190","MidCentral",12,560900,"Sanson"
"1191","Whanganui",11,559240,"Koitiata"
"1192","Capital and Coast",14,573600,"Johnsonville North"
"1193","Southern",22,600832,"Inland Water-Lake Ohau"
"1194","MidCentral",12,564240,"Levin East"
"1195","Taranaki",9,552400,"Frankleigh"
"1196","Nelson Marlborough",16,582700,"Kirks"
"1197","Hawke's Bay",10,548810,"Anderson Park"
"1198","Whanganui",11,559240,"Koitiata"
"1199","West Coast",17,585321,"Whataroa"
"1200","Waikato",5,531732,"Tiroa"
"1201","West Coast",17,585307,"Kaniere"
"1202","Bay of Plenty",7,536614,"Tahawai"
"1203","West Coast",17,585312,"Franz Josef"
"1204","Auckland",3,515500,"Arch Hill"
"1205","Taranaki",9,550902,"Paraite"
"1206","Canterbury",18,597600,"Methven"
"1207","Northland",1,501632,"Ohaeawai"
"1208","Waikato",5,535211,"Mangakaretu"
"1209","Waitematā",2,505906,"Vipond"
"1210","Southern",22,610040,"Hokonui"
"1211","Whanganui",11,557600,"Wembley Park"
"1212","Waikato",5,535000,"Waharoa"
"1213","Southern",22,610220,"East Gore"
"1214","Area outside District Health Board",99,617902,"Tidal-Waitemata Harbour"
"1215","Whanganui",11,556900,"Wanganui Central"
"1216","MidCentral",12,562200,"Kelvin Grove"
"1217","Area outside District Health Board",99,620901,"Inlet-Port Napier"
"1218","Canterbury",18,586900,"Darfield"
"1219","Waitematā",2,505908,"Stanmore Bay East"
"1220","Canterbury",18,589900,"Avonhead"
"1221","MidCentral",12,562800,"Palmerston North Central"
"1222","Hutt Valley",13,564800,"Glendale"
"1223","Counties Manukau",4,525910,"Pukekohe North"
"1224","Canterbury",18,595200,"Hoon Hay South"
"1225","Bay of Plenty",7,542800,"Opotiki"
"1226","Canterbury",18,586001,"Camside"
"1227","Canterbury",18,590602,"Parklands"
"1228","Waikato",5,535600,"Putaruru"
"1229","Southern",22,609028,"Lake Hayes"
"1230","Canterbury",18,586002,"Pines-Kairaki Beach"
"1231","Lakes",6,540100,"Kawaha Point"
"1232","Bay of Plenty",7,536620,"Minden"
"1233","Nelson Marlborough",16,582500,"Trafalgar"
"1234","Nelson Marlborough",16,582300,"The Wood"
"1235","Canterbury",18,596400,"Lyttelton"
"1236","Waitematā",2,506646,"Kaukapakapa Rural"
"1237","Canterbury",18,594600,"Sydenham"
"1238","Bay of Plenty",7,536653,"Rangiuru"
"1239","Whanganui",11,559230,"Lake Alice"
"1240","Bay of Plenty",7,536509,"Waikareao Estuary"
"1241","Bay of Plenty",7,618400,"Motiti Island"
"1242","West Coast",17,585400,"Hokitika Urban"
"1243","Capital and Coast",14,570700,"Elsdon-Takapuwahia"
"1244","Hutt Valley",13,564602,"Riverstone Terraces"
"1245","Capital and Coast",14,577000,"Lyall Bay-Airport-Moa Point"
"1246","Southern",22,611900,"Tisbury"
"1247","Tairāwhiti",8,543903,"Wainui"
