"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"237","Counties Manukau",4,522810,"Pakuranga North"
"238","Counties Manukau",4,522400,"Puhinui North"
"239","Whanganui",11,559230,"Lake Alice"
"240","Auckland",3,517600,"St Lukes"
"241","Nelson Marlborough",16,581833,"Motueka Outer"
"242","Southern",22,612801,"Riverton East"
"243","Southern",22,604210,"Caversham"
"244","Northland",1,501810,"Maungatapere"
"245","Hutt Valley",13,570000,"Esplanade"
"246","Waikato",5,535232,"Tapapa"
"247","West Coast",17,585315,"Otira"
"248","Hawke's Bay",10,545632,"Awatoto"
"249","West Coast",17,584403,"Hector-Ngakawau"
"250","Canterbury",18,586504,"Silverstream"
"251","West Coast",17,584931,"Barrytown"
"252","South Canterbury",19,598313,"Levels"
"253","Auckland",3,516602,"Kohimarama East"
"254","Waikato",5,533800,"Ngatea"
"255","Taranaki",9,551400,"Moturoa"
"256","Nelson Marlborough",16,581722,"Waimea Inlet East"
"257","Whanganui",11,557100,"Cooks Gardens"
"258","Southern",22,611220,"Crinan"
"259","Capital and Coast",14,575600,"Brooklyn"
"260","Northland",1,504700,"Maungaturoto"
"261","Nelson Marlborough",16,582402,"Washington"
"262","Tairāwhiti",8,544500,"Whataupoko"
"263","Hutt Valley",13,569402,"Belmont"
"264","Counties Manukau",4,524002,"Mangere Bridge"
"265","Counties Manukau",4,523813,"Ardmore"
"266","Capital and Coast",14,577400,"Karaka Bay-Worser Bay"
"267","Northland",1,501500,"Moerewa"
"268","Southern",22,612715,"Inland Water-Lake Te Anau"
"269","Bay of Plenty",7,542540,"Rotoma"
"270","Lakes",6,532502,"Kuratau"
"271","Hutt Valley",13,569500,"Kelson"
"272","Lakes",6,538861,"Arahiwi"
"273","Waitematā",2,506631,"Snells Beach"
"274","Waikato",5,527922,"Pirongia"
"275","Southern",22,601602,"Waitati"
"276","Counties Manukau",4,526200,"Tuakau"
"277","Southern",22,609029,"Matukituki"
"278","MidCentral",12,561421,"Ohakea"
"279","Hawke's Bay",10,547300,"Taradale South"
"280","Counties Manukau",4,524510,"Harania North"
"281","Waikato",5,535231,"Te Poi"
"282","Canterbury",18,590800,"Riccarton"
"283","Counties Manukau",4,521116,"Buckland"
"284","Auckland",3,516101,"Remuera West"
"285","Waikato",5,527924,"Lake Ngaroto"
"286","MidCentral",12,562401,"Palmerston North Hospital"
"287","Northland",1,502004,"Abbey Caves"
"288","Canterbury",18,588500,"Bishopdale North"
"289","Canterbury",18,589601,"Hawthornden"
"290","Capital and Coast",14,570500,"Onepoto"
"291","Auckland",3,617400,"Inlet-Hobson Bay"
"292","Northland",1,502400,"Otangarei"
"293","Nelson Marlborough",16,582600,"Maitai"
"294","Capital and Coast",14,573525,"Takapu"
"295","Nelson Marlborough",16,582100,"Atawhai"
"296","Capital and Coast",14,573200,"Aro Street-Nairn Street"
"297","Hutt Valley",13,565300,"Homedale East"
"298","MidCentral",12,563600,"Waitarere"
"299","Southern",22,606300,"Bush Road"
"300","Northland",1,501400,"Kawakawa"
"301","Bay of Plenty",7,542511,"Orini"
"302","Capital and Coast",14,573000,"Lambton"
"303","Bay of Plenty",7,536822,"Tauranga City-Marinas"
"304","Canterbury",18,595600,"North Beach"
"305","Counties Manukau",4,523601,"Otara South"
"306","Lakes",6,538832,"Tarawera"
"307","Waitematā",2,513702,"Waitakere"
"308","Canterbury",18,595800,"New Brighton"
"309","Nelson Marlborough",16,584202,"Richmond West"
"310","Capital and Coast",14,574402,"Ngaio South"
"311","Bay of Plenty",7,538000,"Maungatapu"
"312","Canterbury",18,596600,"Port Levy"
"313","Lakes",6,541760,"Richmond Heights"
"314","West Coast",17,584701,"Inangahua Valley"
"315","Waitematā",2,508803,"Unsworth Heights"
"316","Taranaki",9,551301,"Waitara West"
"317","South Canterbury",19,599500,"Seaview"
"318","Taranaki",9,551120,"Okato"
"319","Capital and Coast",14,574200,"Khandallah Park-Broadmeadows"
"320","Canterbury",18,596200,"Sumner"
"321","Canterbury",18,597712,"Plains Railway"
"322","Southern",22,609600,"Lumsden Community"
"323","Bay of Plenty",7,536654,"Pongakawa"
"324","Auckland",3,517400,"Newmarket"
"325","Nelson Marlborough",16,581260,"Witherlea"
"326","Southern",22,605800,"Green Island"
"327","Counties Manukau",4,525520,"Opaheke"
"328","Canterbury",18,586121,"Fernside"
"329","Southern",22,626100,"Inlet-Milford Sound"
"330","Canterbury",18,586114,"Cust"
"331","Capital and Coast",14,571600,"Ascot Park"
"332","Bay of Plenty",7,542600,"Kawerau"
"333","Canterbury",18,589700,"Westburn"
"334","Southern",22,609023,"Sunshine Bay"
"335","Capital and Coast",14,574001,"Newlands South"
"336","Nelson Marlborough",16,583800,"Maitlands"
"337","Southern",22,608305,"Inland Water-Lake Hawea"
"338","Capital and Coast",14,572500,"Tawa South"
"339","Canterbury",18,586304,"Southbrook"
"340","Hawke's Bay",10,547600,"Mahora"
"341","Waikato",5,532903,"Sunshine-Hospital Hill"
"342","Nelson Marlborough",16,581844,"Tapawera"
"343","Wairarapa",15,578700,"Masterton West"
"344","Capital and Coast",14,575200,"Northland"
"345","Bay of Plenty",7,537202,"Otumoetai South"
"346","Hawke's Bay",10,549602,"Elsthorpe-Flemington"
"347","Counties Manukau",4,522910,"Pakuranga Central"
"348","Counties Manukau",4,524112,"Mascot"
"349","Northland",1,614601,"Inlet-Rangaunu Harbour"
"350","Southern",22,607400,"Balclutha"
"351","West Coast",17,584408,"Mokihinui"
"352","Canterbury",18,590702,"Riccarton West"
"353","Area outside District Health Board",99,617901,"Inlet-Waitemata Harbour"
"354","Waikato",5,528503,"Crawshaw"
"355","Bay of Plenty",7,537800,"Poike"
"356","Waikato",5,530000,"Enderley"
"357","Canterbury",18,585700,"Hurunui"
"358","Counties Manukau",4,524111,"Mangere Central"
"359","MidCentral",12,564021,"Mangaore-Manakau"
"360","Taranaki",9,551012,"Glen Avon"
"361","MidCentral",12,562320,"Cloverlea"
"362","South Canterbury",19,598900,"Marchwiel"
"363","Counties Manukau",4,524822,"Clendon South"
"364","Southern",22,604500,"St Clair"
"365","Tairāwhiti",8,543302,"Ruatoria"
"366","Southern",22,627000,"Inlet-Jacobs River Estuary"
"367","Counties Manukau",4,521112,"Eden Road-Hill Top"
"368","Waitematā",2,513521,"West Harbour"
"369","Southern",22,605100,"Sawyers Bay"
"370","Nelson Marlborough",16,581602,"Takaka"
"371","Lakes",6,540420,"Victoria"
"372","West Coast",17,584410,"Westport Rural"
"373","Taranaki",9,550902,"Paraite"
"374","Bay of Plenty",7,536653,"Rangiuru"
"375","Wairarapa",15,578901,"Solway North"
"376","Counties Manukau",4,526104,"Waiuku East"
"377","West Coast",17,584412,"Inangahua Junction"
"378","Nelson Marlborough",16,580442,"Waikawa"
"379","Counties Manukau",4,522604,"Bucklands Beach South"
"380","Northland",1,501300,"Opua East"
"381","Southern",22,608100,"Naseby"
"382","Waitematā",2,506902,"Glamorgan"
"383","Lakes",6,538842,"Reporoa"
"384","Nelson Marlborough",16,582000,"Clifton"
"385","Auckland",3,514802,"Avondale West"
"386","Auckland",3,519001,"Waikowhai West"
"387","Area outside District Health Board",99,622101,"Inlet-Wellington Harbour"
"388","Hawke's Bay",10,547100,"Greenmeadows"
"389","Southern",22,603710,"Maori Hill"
"390","Southern",22,609800,"Wyndham"
"391","Southern",22,610033,"Kaiwera"
"392","Waikato",5,527125,"Eureka"
